GEOID,Tract_Name,Median_Household_Income,global_permeability,avg_clustering_coeff,degree_assortativity,gini_edge_betweenness
11001005302,Census Tract 53.02; District of Columbia; District of Columbia,119769.0,0.18575408067552157,0.009817351598173518,0.1762132020397898,0.4601494699892545
11001004402,Census Tract 44.02; District of Columbia; District of Columbia,171017.0,0.11868996879483501,0.013489736070381233,0.16691810672109542,0.550370330768381
11001010602,Census Tract 106.02; District of Columbia; District of Columbia,170670.0,0.09096091704024303,0.0165991902834008,0.25187349217653243,0.5130082240213836
11001000804,Census Tract 8.04; District of Columbia; District of Columbia,244375.0,0.07145754065241866,0.03236203090507725,0.06613071020713415,0.7215064682343426
11001003902,Census Tract 39.02; District of Columbia; District of Columbia,111311.0,0.14606664013166631,0.05731922398589065,0.09486405491549203,0.47944361251618534
11001000101,Census Tract 1.01; District of Columbia; District of Columbia,168705.0,0.16156252758175854,0.04291417165668663,0.14367495392833038,0.48911876631769396
11001000903,Census Tract 9.03; District of Columbia; District of Columbia,250001.0,0.09620167604234311,0.06944444444444442,0.1204434621690604,0.6565296159891477
11001001004,Census Tract 10.04; District of Columbia; District of Columbia,208902.0,0.06819907587299891,0.030596768875700623,0.19182230552373586,0.6371808963995044
11001000102,Census Tract 1.02; District of Columbia; District of Columbia,178790.0,0.06133438618558551,0.03188720173535793,0.20058373239542687,0.6655135423094226
11001003701,Census Tract 37.01; District of Columbia; District of Columbia,98056.0,0.14037472780636528,0.02207977207977208,0.059990803843339525,0.48034950095081747
11001002504,Census Tract 25.04; District of Columbia; District of Columbia,107388.0,0.13853528939897292,0.041847041847041834,0.1821366210554633,0.5024978952095316
11001000703,Census Tract 7.03; District of Columbia; District of Columbia,121413.0,0.14253041659912105,0.029059829059829054,0.014270394005095114,0.5612182671799377
11001003901,Census Tract 39.01; District of Columbia; District of Columbia,135773.0,0.14885555964722583,0.038535645472061654,0.09136201449550287,0.5279862109325116
11001002703,Census Tract 27.03; District of Columbia; District of Columbia,127273.0,0.1469323610805406,0.02,0.16004374662512325,0.5621710501679864
11001004401,Census Tract 44.01; District of Columbia; District of Columbia,198856.0,0.12038411121464625,0.00676328502415459,0.1859778595600065,0.5040693987753522
11001001003,Census Tract 10.03; District of Columbia; District of Columbia,250001.0,0.09195042680589091,0.016717791411042945,0.20679631761516973,0.4990133524246369
11001003802,Census Tract 38.02; District of Columbia; District of Columbia,137981.0,0.13660498211919805,0.021236559139784946,0.08741322451354647,0.49895561338929667
11001003702,Census Tract 37.02; District of Columbia; District of Columbia,67424.0,0.15934552917776135,0.01104417670682731,0.07600580482795714,0.4997042118847573
11001005502,Census Tract 55.02; District of Columbia; District of Columbia,115809.0,0.10920845098908792,0.025977011494252873,0.19923985683685055,0.46967983976096656
11001000803,Census Tract 8.03; District of Columbia; District of Columbia,138313.0,0.12785641189275407,0.025089605734767026,-0.019095321553746988,0.6597517247937577
11001003801,Census Tract 38.01; District of Columbia; District of Columbia,112328.0,0.13129036172652883,0.01811594202898551,-0.013130299333863001,0.552907230284683
11001000904,Census Tract 9.04; District of Columbia; District of Columbia,250001.0,0.0995026480687852,0.06099903938520652,0.15939682266461427,0.6696173113170653
11001000704,Census Tract 7.04; District of Columbia; District of Columbia,92484.0,0.1287082794673349,0.023371647509578534,0.2876489091173421,0.5408800197538056
11001001304,Census Tract 13.04; District of Columbia; District of Columbia,122900.0,0.10198719927815633,0.046875,0.11939906028696393,0.6022142438093058
11001001303,Census Tract 13.03; District of Columbia; District of Columbia,103623.0,0.0919383681284245,0.030585106382978722,-0.025237671192116253,0.686498570034939
11001002704,Census Tract 27.04; District of Columbia; District of Columbia,85652.0,0.16756388723012247,0.03305785123966942,0.19592389731124504,0.5281841477836069
11001002503,Census Tract 25.03; District of Columbia; District of Columbia,101156.0,0.12078470964889941,0.03519061583577713,0.16183121897407693,0.5115134806371363
11001005601,Census Tract 56.01; District of Columbia; District of Columbia,76643.0,0.1468020885997792,0.030166666666666665,0.2861240197927438,0.5211119153750379
